date,n_polls,n_eff_polls,Fidesz_hat,Fidesz_lo80,Fidesz_hi80,TISZA_hat,TISZA_lo80,TISZA_hi80,Bal_hat,Bal_lo80,Bal_hi80,MH_hat,MH_lo80,MH_hi80,MKKP_hat,MKKP_lo80,MKKP_hi80,EM_hat,EM_lo80,EM_hi80
2021-12-10,17,8.9,47.59,44.96,50.23,,,,,,,4.02,1.43,6.61,3.97,1.38,6.56,44.42,41.79,47.05
2021-12-11,17,8.9,47.59,44.96,50.23,,,,,,,4.02,1.43,6.61,3.97,1.38,6.56,44.42,41.79,47.05
2021-12-12,17,8.9,47.59,44.96,50.23,,,,,,,4.02,1.43,6.61,3.97,1.38,6.56,44.42,41.79,47.05
2021-12-13,17,8.9,47.59,44.96,50.23,,,,,,,4.02,1.43,6.61,3.97,1.38,6.56,44.42,41.79,47.05
2021-12-14,18,9.4,48.31,45.68,50.95,,,,,,,4.0,1.41,6.59,3.95,1.36,6.54,43.74,41.1,46.37
2021-12-15,18,9.4,48.31,45.68,50.95,,,,,,,4.0,1.41,6.59,3.95,1.36,6.54,43.74,41.1,46.37
2021-12-16,17,9.3,48.34,45.7,50.97,,,,,,,4.0,1.41,6.59,3.95,1.36,6.54,43.71,41.08,46.35
2021-12-17,17,9.3,48.34,45.7,50.97,,,,,,,4.0,1.41,6.59,3.95,1.36,6.54,43.71,41.08,46.35
2021-12-18,17,9.3,48.34,45.7,50.97,,,,,,,4.0,1.41,6.59,3.95,1.36,6.54,43.71,41.08,46.35
2021-12-19,17,9.3,48.34,45.7,50.97,,,,,,,4.0,1.41,6.59,3.95,1.36,6.54,43.71,41.08,46.35
